client_id,full_name,nationality,kyc_status,onboarding_date,email,risk_rating
CLI0001,Client_1,FR,APPROVED,2024-03-14,client_0@email.com,HIGH
CLI0002,Client_2,LU,APPROVED,2020-11-12,client_1@email.com,LOW
CLI0003,Client_3,UK,PENDING,2021-04-29,client_2@email.com,MEDIUM
CLI0004,Client_4,BE,APPROVED,2024-11-05,client_3@email.com,HIGH
CLI0005,Client_5,BE,APPROVED,2020-11-28,client_4@email.com,MEDIUM
CLI0006,Client_6,DE,EXPIRED,2024-06-26,client_5@email.com,HIGH
CLI0007,Client_7,FR,APPROVED,2024-07-18,client_6@email.com,MEDIUM
CLI0008,Client_8,PT,,2020-12-28,client_7@email.com,HIGH
CLI0009,Client_9,FR,PENDING,2024-12-10,client_8@email.com,LOW
CLI0010,Client_10,,EXPIRED,2022-04-24,client_9@email.com,MEDIUM
CLI0011,Client_11,CH,REJECTED,2020-02-20,client_10@email.com,HIGH
CLI0012,Client_12,LU,PENDING,2021-01-02,client_11@email.com,LOW
CLI0013,Client_13,LU,,2024-02-17,client_12@email.com,LOW
CLI0014,Client_14,FR,PENDING,2021-11-11,client_13@email.com,HIGH
CLI0015,Client_15,BE,,2024-05-21,client_14@email.com,MEDIUM
CLI0016,Client_16,BE,,2022-04-23,client_15@email.com,
CLI0017,Client_17,PT,REJECTED,2024-06-30,client_16@email.com,LOW
CLI0018,Client_18,,PENDING,2023-10-03,client_17@email.com,LOW
CLI0019,Client_19,LU,REJECTED,2024-11-04,client_18@email.com,HIGH
CLI0020,Client_20,PT,REJECTED,2024-02-14,client_19@email.com,
CLI0021,Client_21,BE,PENDING,2024-07-18,client_20@email.com,
CLI0022,Client_22,PT,APPROVED,2021-05-23,client_21@email.com,
CLI0023,Client_23,CH,APPROVED,2021-06-30,client_22@email.com,HIGH
CLI0024,Client_24,BE,REJECTED,2020-11-22,client_23@email.com,MEDIUM
CLI0025,Client_25,IT,EXPIRED,2024-05-31,client_24@email.com,LOW
CLI0026,Client_26,,REJECTED,2023-12-07,client_25@email.com,HIGH
CLI0027,Client_27,UK,REJECTED,2020-08-09,client_26@email.com,
CLI0028,Client_28,LU,REJECTED,2022-02-22,client_27@email.com,LOW
CLI0029,Client_29,DE,APPROVED,2024-11-21,client_28@email.com,LOW
CLI0030,Client_30,CH,APPROVED,2020-03-20,client_29@email.com,
CLI0031,Client_31,US,APPROVED,2024-10-24,client_30@email.com,
CLI0032,Client_32,UK,REJECTED,2022-08-21,client_31@email.com,LOW
CLI0033,Client_33,DE,EXPIRED,2021-03-31,client_32@email.com,LOW
CLI0034,Client_34,BE,APPROVED,2021-02-12,client_33@email.com,MEDIUM
CLI0035,Client_35,US,PENDING,2024-07-30,client_34@email.com,MEDIUM
CLI0036,Client_36,FR,PENDING,2022-07-31,client_35@email.com,HIGH
CLI0037,Client_37,FR,PENDING,2021-12-17,client_36@email.com,LOW
CLI0038,Client_38,CH,,2021-09-17,client_37@email.com,MEDIUM
CLI0039,Client_39,FR,REJECTED,2024-08-07,client_38@email.com,LOW
CLI0040,Client_40,US,PENDING,2024-06-16,client_39@email.com,
CLI0041,Client_41,US,REJECTED,2024-11-19,client_40@email.com,MEDIUM
CLI0042,Client_42,,PENDING,2021-04-11,client_41@email.com,
CLI0043,Client_43,UK,EXPIRED,2021-04-01,,
CLI0044,Client_44,LU,REJECTED,2020-02-18,client_43@email.com,
CLI0045,Client_45,IT,PENDING,2023-09-13,client_44@email.com,HIGH
CLI0046,Client_46,PT,APPROVED,2021-01-30,client_45@email.com,
CLI0047,Client_47,FR,REJECTED,2022-03-27,client_46@email.com,HIGH
CLI0048,Client_48,CH,,2021-11-03,,LOW
CLI0049,Client_49,FR,APPROVED,2021-07-24,client_48@email.com,LOW
CLI0050,Client_50,PT,APPROVED,2024-11-05,client_49@email.com,MEDIUM
CLI0051,Client_51,UK,,2020-05-22,client_50@email.com,MEDIUM
CLI0052,Client_52,,APPROVED,2024-05-02,client_51@email.com,HIGH
CLI0053,Client_53,US,APPROVED,2021-07-25,client_52@email.com,LOW
CLI0054,Client_54,,PENDING,2021-12-20,client_53@email.com,MEDIUM
CLI0055,Client_55,BE,PENDING,2023-08-06,client_54@email.com,MEDIUM
CLI0056,Client_56,FR,REJECTED,2022-11-09,client_55@email.com,MEDIUM
CLI0057,Client_57,LU,REJECTED,2022-03-29,client_56@email.com,LOW
CLI0058,Client_58,BE,REJECTED,2023-10-23,client_57@email.com,MEDIUM
CLI0059,Client_59,UK,PENDING,2024-09-23,client_58@email.com,LOW
CLI0060,Client_60,FR,REJECTED,2023-01-03,client_59@email.com,
CLI0061,Client_61,BE,APPROVED,2021-11-09,client_60@email.com,
CLI0062,Client_62,FR,PENDING,2020-02-26,client_61@email.com,
CLI0063,Client_63,CH,REJECTED,2020-08-24,client_62@email.com,HIGH
CLI0064,Client_64,UK,APPROVED,2024-12-01,client_63@email.com,LOW
CLI0065,Client_65,IT,REJECTED,2021-06-18,client_64@email.com,MEDIUM
CLI0066,Client_66,US,EXPIRED,2020-12-31,client_65@email.com,HIGH
CLI0067,Client_67,DE,REJECTED,2023-04-04,client_66@email.com,HIGH
CLI0068,Client_68,US,EXPIRED,2021-06-27,client_67@email.com,
CLI0069,Client_69,US,REJECTED,2020-03-19,client_68@email.com,LOW
CLI0070,Client_70,BE,,2020-08-10,client_69@email.com,MEDIUM
CLI0071,Client_71,UK,REJECTED,2023-05-06,client_70@email.com,HIGH
CLI0072,Client_72,FR,PENDING,2022-06-08,client_71@email.com,MEDIUM
CLI0073,Client_73,,PENDING,2021-12-08,client_72@email.com,
CLI0074,Client_74,DE,EXPIRED,2024-02-01,client_73@email.com,LOW
CLI0075,Client_75,PT,PENDING,2024-05-29,client_74@email.com,MEDIUM
CLI0076,Client_76,BE,APPROVED,2021-10-04,client_75@email.com,MEDIUM
CLI0077,Client_77,DE,,2022-06-12,client_76@email.com,HIGH
CLI0078,Client_78,IT,,2023-05-26,client_77@email.com,MEDIUM
CLI0079,Client_79,CH,APPROVED,2022-11-13,client_78@email.com,LOW
CLI0080,Client_80,UK,EXPIRED,2020-08-24,client_79@email.com,LOW
CLI0081,Client_81,PT,APPROVED,2022-02-27,client_80@email.com,MEDIUM
CLI0082,Client_82,BE,APPROVED,2023-03-26,client_81@email.com,HIGH
CLI0083,Client_83,US,,2021-01-24,client_82@email.com,HIGH
CLI0084,Client_84,LU,REJECTED,2021-06-05,client_83@email.com,
CLI0085,Client_85,BE,,2020-03-31,client_84@email.com,LOW
CLI0086,Client_86,LU,,2023-12-22,client_85@email.com,
CLI0087,Client_87,US,PENDING,2022-06-12,client_86@email.com,HIGH
CLI0088,Client_88,CH,APPROVED,2020-01-04,client_87@email.com,
CLI0089,Client_89,UK,,2022-11-30,client_88@email.com,HIGH
CLI0090,Client_90,FR,APPROVED,2024-07-09,,
CLI0091,Client_91,BE,PENDING,2023-01-07,client_90@email.com,
CLI0092,Client_92,,APPROVED,2023-11-07,client_91@email.com,LOW
CLI0093,Client_93,US,,2024-01-13,,LOW
CLI0094,Client_94,BE,APPROVED,2024-02-28,client_93@email.com,
CLI0095,Client_95,IT,PENDING,2024-02-18,,HIGH
CLI0096,Client_96,CH,REJECTED,2023-10-05,,HIGH
CLI0097,Client_97,IT,APPROVED,2021-02-07,client_96@email.com,LOW
CLI0098,Client_98,DE,,2022-01-15,client_97@email.com,LOW
CLI0099,Client_99,UK,PENDING,2022-06-02,client_98@email.com,MEDIUM
CLI0100,Client_100,DE,,2020-05-23,client_99@email.com,LOW
